公众号【天微科技】240101更新

📡央视频道,#genre#
金鹰卡通频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221226268/10000100000000060000000000801410_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
炫动卡通频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225734/10000100000000060000000000000271_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
优漫卡通频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225735/10000100000000060000000000000272_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
嘉佳卡通频道,
卡酷少儿频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221226261/10000100000000060000000000801427_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
金鹰纪实频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225656/10000100000000060000000000000193_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
北京冬奥纪实频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225655/10000100000000060000000000000192_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CCTV-4 欧洲,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221226245/10000100000000060000000000801384_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CCTV-4 美洲,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221226271/10000100000000060000000000801385_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
西藏卫视（藏语）,http://10.255.128.136/PLTV/88888888/224/3221226269/10000100000000060000000000863663_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
安多藏语综合频道,http://10.255.128.136/PLTV/88888888/224/3221226265/10000100000000060000000000863648_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
康巴藏语综合频道,http://10.255.128.136/PLTV/88888888/224/3221226266/10000100000000060000000000863653_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418




📡本地频道,#genre#
辽宁卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225632/10000100000000060000000000000169_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
沈阳新闻综合频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225786/10000100000000060000000000000323_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
辽宁都市频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221226258/10000100000000060000000000801420_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
辽宁影视剧频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221226272/10000100000000060000000000801423_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
辽宁体育频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221226287/10000100000000060000000000801421_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
辽宁生活频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225842/10000100000000060000000000447161_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
辽宁教育青少频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221226254/10000100000000060000000000801409_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
辽宁北方频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221226223/10000100000000060000000000713343_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
辽宁宜佳购物频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221226291/10000100000000060000000000801425_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
辽宁公共频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225785/10000100000000060000000000000322_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
